address,price,details
"82 Pittmann Cres, Ajax, ON L1S 3G5","C$849,900",3 bds2 ba- House for sale
"Mccarrick St, Ajax, ON L1T 0J2","C$849,900",5 bds4 ba- Condo for sale
"7 Mckie Ct, Ajax, ON L1T 3Z6","C$1,099,900",4 bds3 ba- House for sale
"38 Marjoram Dr, Ajax, ON L1S 7P3","C$789,800",3 bds4 ba- Townhouse for sale
"30 Brockman Cres, Ajax, ON L1T 4B3","C$899,000",4 bds3 ba- House for sale
"63 Wright Cres, Ajax, ON L1S 6S9","C$879,900",4 bds4 ba- House for sale
"8 Dewsnap Rd, Ajax, ON L1Z 0S4","C$999,008",4 bds3 ba- House for sale
"22 Gates Cres, Ajax, ON L1S 7C7","C$749,000",3 bds2 ba- Townhouse for sale
"70 Michaelman Rd, Ajax, ON L1S 0C8","C$799,000",4 bds4 ba- Townhouse for sale
"168 Angus Dr, Ajax, ON L1S 5E1","C$849,000",3 bds3 ba- House for sale
"100 Atherton Ave, Ajax, ON L1T 0L3","C$849,000",3 bds3 ba- Townhouse for sale
"15 Chaston Rd, Ajax, ON L1Z 0M6","C$599,999",2 bds1 ba- Townhouse for sale
"41 Dreyer Dr, Ajax, ON L1S 1J3","C$879,900",3 bds5 ba- House for sale
"11 Quarrie Ln, Ajax, ON L1T 0N1","C$785,000",3 bds3 ba- Townhouse for sale
"25 Cumberland Ln #614, Ajax, ON L1S 7K1","C$599,900",2 bds2 ba- Condo for sale
"65 Clements Rd E, Ajax, ON L1S 1L3","C$749,000",4 bds2 ba- House for sale
"78 Oswell Dr, Ajax, ON L1Z 0L5","C$899,900",3 bds3 ba- House for sale
"54 Lincoln St, Ajax, ON L1S 6C9","C$899,888",3 bds2 ba- House for sale
"53 Mullen Dr, Ajax, ON L1T 2A6","C$898,888",4 bds3 ba- House for sale
"822 Audley Rd N, Ajax, ON L1Z 0S9","C$799,990",4 bds4 ba- House for sale
"11 Large Cres, Ajax, ON L1T 2R6","C$839,900",3 bds4 ba- House for sale
"68 Cooperage Ln, Ajax, ON L1S 0E8","C$619,990",3 bds2 ba- Townhouse for sale
"3 Gregory Rd, Ajax, ON L1S 3B2","C$879,000",3 bds2 ba- House for sale
"10 Bradbury Cres, Ajax, ON L1T 4H4","C$998,000",4 bds3 ba- House for sale
"193 Lake Driveway W #308, Ajax, ON L1S 7H8","C$479,900",2 bds2 ba- Condo for sale
"54 Tansley Cres, Ajax, ON L1Z 1Y6","C$769,900",3 bds3 ba- House for sale
"45 Bevan Cres, Ajax, ON L1T 4P4","C$1,349,000",4 bds5 ba- House for sale
"3 Brider Cres, Ajax, ON L1Z 0M3","C$1,199,400",4 bds5 ba- House for sale
"44 Lovegrove Ln #44, Ajax, ON L1S 0E7","C$529,000",2 bds2 ba- Townhouse for sale
"26 Tresher Ct, Ajax, ON L1T 2N2","C$798,800",3 bds3 ba- House for sale
"182 Kingston Rd W #22, Ajax, ON L1T 0M9","C$549,900",2 bds2 ba- Townhouse for sale
"29 Arfield Ave, Ajax, ON L1Z 0G2","C$998,000",4 bds4 ba- House for sale
"32 Carr Dr, Ajax, ON L1T 3E4","C$899,000",3 bds4 ba- House for sale
"28 Slater Cres, Ajax, ON L1S 3J3","C$699,000",3 bds2 ba- House for sale
"6 Smales Dr, Ajax, ON L1Z 1G5","C$699,000",3 bds3 ba- House for sale
"11 Twilley Ln, Ajax, ON L1S 7N2","C$699,000",4 bds3 ba- House for sale
"10 Cooperage Ln, Ajax, ON L1S 0E8","C$649,900",3 bds2 ba- House for sale
"19 Plumridge Ct, Ajax, ON L1S 3Z8","C$725,500",3 bds3 ba- House for sale
"33 Mansbridge Cres, Ajax, ON L1Z 1S3","C$899,800",3 bds4 ba- House for sale
"81 Whitlock Cres, Ajax, ON L1Z 2B1","C$799,000",3 bds3 ba- House for sale
"4 Brooks Rd, Ajax, ON L1S 6G3","C$799,900",3 bds4 ba- House for sale
"45 Banner Cres, Ajax, ON L1S 3S8","C$799,900",3 bds3 ba- House for sale
"49 Elliottglen Dr, Ajax, ON L1Z 0H1","C$749,000",3 bds3 ba- House for sale
"70 Tansley Cres, Ajax, ON L1Z 1Y6","C$749,000",3 bds3 ba- House for sale
"39 Cooperage Ln, Ajax, ON L1S 0E8","C$699,999",3 bds2 ba- Townhouse for sale
"34 Andrea Rd, Ajax, ON L1S 3V7","C$749,000",3 bds2 ba- House for sale
"349 Old Harwood Ave, Ajax, ON L1Z 1H6","C$989,900",5 bds4 ba- House for sale
"17 Wilsongary Cir, Ajax, ON L1T 0G8","C$999,900",5 bds4 ba- House for sale
"32 Glynn Rd, Ajax, ON L1S 2C3","C$1,099,000",4 bds5 ba- House for sale
"80 Root Cres, Ajax, ON L1T 4L6","C$699,900",3 bds3 ba- House for sale
"68 Boyd Cres, Ajax, ON L1Z 1X7","C$835,900",3 bds3 ba- House for sale
"10 Mccarrick St, Ajax, ON L1T 0J2","C$998,000",4 bds4 ba- House for sale
"25 Stockbridge Cres, Ajax, ON L1T 2H2","C$699,000",3 bds2 ba- House for sale
"48 Carpendale Cres, Ajax, ON L1Z 2B7","C$899,000",3 bds4 ba- House for sale
"32 Boyd Cres, Ajax, ON L1Z 1Y3","C$859,000",3 bds4 ba- House for sale
"9 Pridham Ct, Ajax, ON L1S 3Z5","C$899,989",3 bds4 ba- House for sale
"6 Hirons Dr, Ajax, ON L1S 7N4","C$999,000",4 bds3 ba- House for sale
"944 Audley Rd N, Ajax, ON L1Z 0K6","C$729,000",3 bds3 ba- Townhouse for sale
"1 Pottle Ln #66, Ajax, ON L1S 7S4","C$738,000",3 bds2 ba- Condo for sale
"43 Napiermews Dr, Ajax, ON L1T 0B2","C$995,000",3 bds2 ba- House for sale
"20 Tipton Cres, Ajax, ON L1T 2L1","C$849,900",3 bds4 ba- House for sale
"54 Mccourt Dr, Ajax, ON L1Z 0P1","C$949,800",3 bds3 ba- House for sale
"132 Old Harwood Ave, Ajax, ON L1T 4W4","C$950,000",4 bds2 ba- House for sale
"3 Sidaway Ln, Ajax, ON L1T 4W4","C$727,900",3 bds3 ba- Townhouse for sale
"11 Winrow Gate, Ajax, ON L1T 0G3","C$749,000",4 bds4 ba- Townhouse for sale
"7 Denny St, Ajax, ON L1Z 0S3","C$899,000",3 bds3 ba- House for sale
"8 Solway Cres, Ajax, ON L1Z 0A7","C$1,299,000",5 bds5 ba- House for sale
