address,price,details
"63 Ken Sinclair Cres, Aurora, ON L4G 3J1","C$1,390,000",4 bds4 ba- House for sale
"261 Stone Rd, Aurora, ON L4G 6Y7","C$1,198,000",3 bds4 ba- House for sale
"29 Valley Cres, Aurora, ON L4G 4S4","C$1,298,888",4 bds3 ba- House for sale
"58 Mclarty Gate, Aurora, ON L4G 0G5","C$1,799,000",5 bds6 ba- House for sale
"50 Thomas Phillips Dr, Aurora, ON L4G 0X4","C$1,288,800",5 bds5 ba- House for sale
"52 Hamster Cres, Aurora, ON L4G 3G7","C$2,490,000",6 bds5 ba- House for sale
"116 Rothwell St, Aurora, ON L4G 0V7","C$899,900",5 bds4 ba- Townhouse for sale
"5 Marshview Ave, Aurora, ON L4G 7W2","C$798,000",3 bds3 ba- Townhouse for sale
"15277 Yonge St PENTHOUSE 708, Aurora, ON L4G 1Y3","C$749,000",2 bds2 ba- Condo for sale
"34 Rush Rd, Aurora, ON L4G 7G5","C$999,000",3 bds3 ba- House for sale
"3 Hill Dr, Aurora, ON L4G 3A7","C$999,000",4 bds2 ba- House for sale
"5 Parkland Ct, Aurora, ON L4G 3M5","C$689,000",4 bds2 ba- Townhouse for sale
"15 Kashani Ct, Aurora, ON L4G 0W6","C$1,399,000",4 bds6 ba- House for sale
"86 Baber Cres, Aurora, ON L4G 0Y5","C$1,390,000",4 bds4 ba- House for sale
"28 Martell Gate, Aurora, ON L4G 0C4","C$849,900",3 bds4 ba- Townhouse for sale
"67 Lewis Honey Dr, Aurora, ON L4G 0J3","C$899,000",4 bds3 ba- House for sale
"221 Tonner Cres, Aurora, ON L4G 7T6","C$1,199,889",6 bds5 ba- House for sale
"18 Irwin Ave, Aurora, ON L4G 3G2","C$999,800",3 bds4 ba- House for sale
"87 Golf Links Dr, Aurora, ON L4G 3V4","C$1,488,800",4 bds3 ba- House for sale
"4 Mosaics Ave, Aurora, ON L4G 7L5","C$779,999",3 bds3 ba- Condo for sale
"4 Mosaics Ave #2, Aurora, ON L4G 7L5","C$779,999",3 bds3 ba- Townhouse for sale
"44 Springfair Ave, Aurora, ON L4G 3M2","C$499,000",3 bds2 ba- Condo for sale
"397 Hollandview Trl, Aurora, ON L4G 7M6","C$799,900",3 bds4 ba- House for sale
"38 Rothwell St, Aurora, ON L4G 0V6","C$1,099,900",4 bds4 ba- House for sale
"16 Ostick St, Aurora, ON L4G 7K5","C$799,900",3 bds3 ba- House for sale
"44 Springfair Ave #180, Aurora, ON L4G 3M2","C$499,000",3 bds2 ba- Townhouse for sale
"6 Pedersen Dr, Aurora, ON L4G 7R4","C$1,100,000",4 bds4 ba- House for sale
"25 Bigwin Dr, Aurora, ON L4G 3C4","C$849,999",5 bds2 ba- House for sale
"103 Wellington St E, Aurora, ON L4G 1H9","C$849,000",4 bds1 ba- House for sale
"21 Stiles Ave, Aurora, ON L4G 7N3","C$792,999",3 bds3 ba- Townhouse for sale
"101 Mugford Rd, Aurora, ON L4G 7J5","C$699,900",3 bds3 ba- Townhouse for sale
"19 Mosley St, Aurora, ON L4G 1G7","C$1,293,000",4 bds3 ba- House for sale
"225 Chouinard Way, Aurora, ON L4G 1A6","C$899,000",4 bds4 ba- House for sale
"114 Timberline Trl, Aurora, ON L4G 6A1","C$1,599,900",4 bds3 ba- House for sale
"1 Woodsend Cres, Aurora, ON L4G 6W6","C$2,788,000",4 bds5 ba- House for sale
"180 John West Way #121, Aurora, ON L4G 0R3","C$779,900",2 bds2 ba- Condo for sale
"86 Windham Trl, Aurora, ON L4G 5L5","C$2,150,000",4 bds5 ba- House for sale
"103 Gateway Dr, Aurora, ON L4G 7S5","C$1,099,000",5 bds4 ba- House for sale
"22 Brookland Ave, Aurora, ON L4G 3Y4","C$1,299,900",4 bds4 ba- House for sale
"300 Alex Gardner Cir UNIT 63, Aurora, ON L4G 3G5","C$799,900",3 bds3 ba- Townhouse for sale
"64 Wells St PENTHOUSE 401, Aurora, ON L4G 1S9","C$829,000",2 bds3 ba- Condo for sale
"16 Seaton Dr, Aurora, ON L4G 2J8","C$999,000",3 bds2 ba- House for sale
"45 Pineneedle Dr, Aurora, ON L4G 4Y6","C$1,969,888",3 bds3 ba- House for sale
"86 Temperance St, Aurora, ON L4G 2P8","C$798,000",2 bds1 ba- House for sale
"19 Peter Miller St, Aurora, ON L4G 0W9","C$999,800",4 bds3 ba- House for sale
"300 Alex Gardner Cir UNIT 42, Aurora, ON L4G 3G5","C$777,000",3 bds3 ba- Condo for sale
"34 Wellington St E, Aurora, ON L4G 1H5","C$2,500,000",5 bds4 ba- House for sale
"15450 Yonge St #302, Aurora, ON L4G 0K1","C$525,000",2 bds1 ba- Condo for sale
"19 Mcroberts Pl, Aurora, ON L4G 6X2","C$3,598,000",4 bds5 ba- House for sale
"15450 Yonge St, Aurora, ON L4G 0K1","C$527,000","2 bds1 ba3,079 sqft- Condo for sale"
"84 Closs Sq, Aurora, ON L4G 5H9","C$1,449,000",5 bds4 ba- House for sale
"198 Championship Circle Pl, Aurora, ON L4G 0H9","C$2,539,000",5 bds6 ba- House for sale
"2 Jarvis Ave, Aurora, ON L4G 6W8","C$2,860,000",6 bds5 ba- House for sale
"5 Awesome Again Ln, Aurora, ON L4G 7Y7","C$5,580,000",3 bds8 ba- House for sale
"0 Mavinar Blvd, Aurora, ON L4G","C$600,000",Studio-- ba- House for sale
