address,price,details
"41 Prouse Dr, Brampton, ON L6V 3A3","C$799,000",3 bds2 ba- House for sale
"106 Valleycreek Dr, Brampton, ON L6P 2C8","C$1,999,000",5 bds6 ba- House for sale
"8 Ranger Cres, Brampton, ON L6P 2J8","C$1,457,000",5 bds5 ba- House for sale
"30 Edenfield St, Brampton, ON L6R 0N1","C$699,900",3 bds3 ba- Townhouse for sale
"18 Pathmaster Rd, Brampton, ON L6P 2G8","C$1,299,900",6 bds4 ba- House for sale
"7 Wayne Nicol Dr, Brampton, ON L6X 3Y5","C$799,900",4 bds3 ba- House for sale
"Lot36rh Hashmi Hno 70 Dr, Brampton, ON L6Y 5Y7","C$829,900",4 bds4 ba- House for sale
"131 Young Dr, Brampton, ON L6Y 0N9","C$1,099,000",4 bds4 ba- House for sale
"198 Baronwood Ct, Brampton, ON L6V 3H9","C$599,999",3 bds2 ba- Condo for sale
"49 Tobosa Trl, Brampton, ON L6R 1X5","C$799,900",3 bds3 ba- House for sale
"2530 Countryside Dr #1, Brampton, ON L6R 3T4","C$724,999",3 bds3 ba- Condo for sale
"74 Summer Valley Dr, Brampton, ON L6Z 4V1","C$1,199,333",5 bds4 ba- House for sale
"6 Selsdon St, Brampton, ON L6X 3E3","C$899,900",4 bds3 ba- House for sale
"3 Farnham Dr, Brampton, ON L6X 4H7","C$649,900",4 bds4 ba2 sqft- Condo for sale
"223 Valleyway Dr, Brampton, ON L6X 0N9","C$1,299,999",4 bds4 ba- House for sale
"32 Lobelia St, Brampton, ON L6R 3Z6","C$899,000",2 bds3 ba- Condo for sale
"8 Darou Cres, Brampton, ON L6R 0N7","C$1,349,000",5 bds4 ba- House for sale
"39 Ascot Ave, Brampton, ON L6T 2P3","C$999,900",3 bds2 ba- House for sale
"48 Aberdeen Cres, Brampton, ON L6T 2P9","C$799,000",4 bds2 ba- House for sale
"53 Ridgemore Cres, Brampton, ON L7A 2L4","C$799,900",3 bds3 ba- House for sale
"21 Eagle Plain Dr, Brampton, ON L6R 3M6","C$1,199,000",3 bds4 ba- House for sale
"25 Crawford Dr, Brampton, ON L6V 2C6","C$729,000",4 bds2 ba- House for sale
"85 Calderstone Rd, Brampton, ON L6P 2A9","C$1,659,900",4 bds4 ba- House for sale
"41 Weather Vane Ln, Brampton, ON L6X 4R4","C$799,999",5 bds4 ba- House for sale
"61 Haverstock Cres, Brampton, ON L7A 4E2","C$1,199,000",4 bds3 ba- House for sale
"173 Earnscliffe Cir, Brampton, ON L6T 2B6","C$699,999",3 bds2 ba- House for sale
"18 Snowy Wood Dr, Brampton, ON L7A 3E3","C$1,199,000",6 bds4 ba- House for sale
"182 Rainforest Dr, Brampton, ON L6R 1A4","C$899,999",4 bds4 ba- House for sale
"94 Addington Cres, Brampton, ON L6T 2R3","C$829,999",5 bds3 ba- House for sale
"64 Betterton Cres, Brampton, ON L7A 0S6","C$899,900",4 bds4 ba- Townhouse for sale
"11 Lotus St, Brampton, ON L6P 3E1","C$799,000",3 bds3 ba- Townhouse for sale
"47 Nelson St W, Brampton, ON L6X 1C2","C$899,000",3 bds2 ba- House for sale
"28 Jason Sq #L652L6, Brampton, ON L6S 2L6","C$699,999",4 bds2 ba- House for sale
"21 Shipmate Ave, Brampton, ON L6Z 0J2","C$749,000",3 bds4 ba- Townhouse for sale
"76 Parity Rd, Brampton, ON L6X 5N5","C$1,479,999",4 bds4 ba- House for sale
"16 Trevino Cres, Brampton, ON L6P 1L9","C$999,900",3 bds4 ba- House for sale
"5 Bettey Rd, Brampton, ON L6P 1S9","C$1,499,900",4 bds6 ba- House for sale
"6 Butlers Ct, Brampton, ON L6Y 3T8","C$1,399,000",5 bds4 ba- House for sale
"22 Cumberland Dr, Brampton, ON L6V 1W6","C$799,900",3 bds2 ba- House for sale
"177 Robert Parkinson Dr, Brampton, ON L7A 4H1","C$899,900",3 bds3 ba- House for sale
"32 Watson Cres, Brampton, ON L6W 1E7","C$970,000","5 bds3 ba1,700 sqft- House for sale"
"98 Silent Pond Cres, Brampton, ON L6V 4S9","C$849,900",3 bds4 ba- House for sale
"11 Pennywood Rd, Brampton, ON L6V 2J6","C$749,900",3 bds2 ba- House for sale
"152 Darras Ct, Brampton, ON L6T 1W7","C$599,000",4 bds2 ba- Condo for sale
"9 Watson Cres, Brampton, ON L6W 1E5","C$929,000",3 bds3 ba- House for sale
"54 Saint Grace Ct, Brampton, ON L6P 3B9","C$969,000",3 bds4 ba- House for sale
"73 Gilmore Dr, Brampton, ON L6V 3K3","C$629,000",3 bds2 ba- Townhouse for sale
"14 Watfive St, Brampton, ON L7A 4S4","C$1,399,000",5 bds6 ba- House for sale
"98 Fleetwood Cres #118, Brampton, ON L6T 2E5","C$669,000",4 bds3 ba- Townhouse for sale
"4 Red Cedar Cres, Brampton, ON L6R 1B2","C$1,169,000",4 bds4 ba- House for sale
"3 Silver Willow Trl, Brampton, ON L6R 0P1","C$999,999",4 bds4 ba- House for sale
"45 Yorkland Blvd W #501, Brampton, ON L6P 4B4","C$489,999",1 bd1 ba- Condo for sale
"200 Malta Ave #36, Brampton, ON L6Y 6H8","C$829,900",3 bds3 ba- Townhouse for sale
"64 Dorchester Dr, Brampton, ON L6T 3E4","C$999,900",3 bds3 ba- House for sale
"24 Roundstone Dr, Brampton, ON L6X 0K7","C$1,525,000",6 bds4 ba- House for sale
"146 Degrassi Cove Cir, Brampton, ON L6X 0N9","C$1,477,900",6 bds4 ba- House for sale
"57 Robert Parkinson Dr, Brampton, ON L7A 0X5","C$988,888",4 bds3 ba- House for sale
"2 Arabia Gate, Brampton, ON L6R 2N7","C$895,000","4 bds4 ba1,821 sqft- Townhouse for sale"
"288 Archdekin Dr, Brampton, ON L6V 1Z4","C$599,900","3 bds1 ba1,053 sqft- House for sale"
"18 Pepperbush Rd, Brampton, ON L6P 2L2","C$1,299,900",4 bds5 ba- House for sale
"93 Hansen Rd N #4, Brampton, ON L6V 3C8","C$549,900","3 bds2 ba1,083 sqft- Townhouse for sale"
"110 Oatfield Rd, Brampton, ON L6R 1Y6","C$795,000",3 bds3 ba- House for sale
"5 Fern St, Brampton, ON L6Y 1X3","C$924,900",3 bds3 ba- House for sale
"68 Sundridge St, Brampton, ON L7A 1J7","C$949,000",4 bds2 ba- House for sale
"52 Quail Feather Cres, Brampton, ON L6R 1S1","C$829,000",3 bds4 ba- House for sale
"LOT 179 Benhurst Cres, Brampton, ON L7A 5A5","C$1,010,000",4 bds3 ba- Townhouse for sale
"81 Dolphin Song Cres, Brampton, ON L6R 1Z9","C$749,900",4 bds4 ba- House for sale
"6 Chesham Ct, Brampton, ON L6Z 1V6","C$1,299,000",8 bds5 ba- House for sale
"22 Gallucci Cres, Brampton, ON L6P 1R2","C$1,379,000",4 bds4 ba- House for sale
"26 Royce Ave, Brampton, ON L6Y 1J5","C$799,000",6 bds3 ba- House for sale
"208 Albright Rd, Brampton, ON L6X 5E7","C$799,000",3 bds3 ba- Townhouse for sale
"132 Lauraglen Cres, Brampton, ON L6Y 5A3","C$799,900",3 bds2 ba- House for sale
"33 Taurus Rd, Brampton, ON L7A 4E5","C$1,099,999",5 bds4 ba- House for sale
"4 Woodbury Ct, Brampton, ON L6Y 4K5","C$1,249,000",6 bds5 ba- House for sale
"101 Ecclestone Dr, Brampton, ON L6X 3P4","C$849,900",3 bds3 ba- House for sale
"2 Leadership Dr, Brampton, ON L6Y 5V1","C$1,499,000",5 bds5 ba- House for sale
"194 Millstone Dr, Brampton, ON L6Y 4P1","C$1,080,000",6 bds4 ba- House for sale
"LOT 174 Benhurst Cres, Brampton, ON L7A 5A5","C$1,010,000",4 bds3 ba- Townhouse for sale
"25 Kensington Rd #503, Brampton, ON L6T 3W8","C$489,900",2 bds1 ba- Condo for sale
"17 Dovesong Dr, Brampton, ON L6R 1V9","C$1,149,000",6 bds4 ba- House for sale
"32 Lobelia St #67, Brampton, ON L6R 3Z6","C$899,000",2 bds3 ba- Condo for sale
"170 Havelock Dr #23, Brampton, ON L6W 4T3","C$699,813",3 bds3 ba- Townhouse for sale
"128 Simmons Blvd, Brampton, ON L6V 3V6","C$779,900",4 bds3 ba- House for sale
"259 Morningmist St, Brampton, ON L6R 2B8","C$869,000",3 bds4 ba- House for sale
"4 Rosedale Ave, Brampton, ON L6X 1J8","C$1,499,999",4 bds4 ba- House for sale
"14 Quailvalley Dr, Brampton, ON L6R 0N3","C$879,000",4 bds4 ba- Townhouse for sale
"46 Prairie Creek Cres, Brampton, ON L6Y 6C9","C$1,399,000",4 bds6 ba- House for sale
"16 Billiter Rd, Brampton, ON L7A 4G8","C$849,900",3 bds4 ba- House for sale
"21 Delmonico Rd, Brampton, ON L6P 2K5","C$1,499,000",5 bds7 ba- House for sale
"15 Dunure Cres, Brampton, ON L7A 2Y5","C$799,900",3 bds3 ba- House for sale
"8 Utopia Way, Brampton, ON L6P 4A6","C$788,800",2 bds3 ba- Townhouse for sale
"22 Rockrose Dr, Brampton, ON L6R 2Z7","C$899,999",4 bds4 ba- House for sale
"99 New Pines Trl, Brampton, ON L6Z 0H8","C$799,900",3 bds4 ba- Townhouse for sale
"28 Madelaine Cres, Brampton, ON L6S 2Y9","C$1,249,999",6 bds4 ba- House for sale
"37 Totten Dr, Brampton, ON L6R 0P5","C$849,900",3 bds3 ba- Townhouse for sale
"117 Naperton Dr, Brampton, ON L6R 3N5","C$957,000",4 bds3 ba- Townhouse for sale
"14 Seville Ct, Brampton, ON L6Z 4B8","C$1,150,000",5 bds4 ba- House for sale
"18 Knightsbridge Rd #2012, Brampton, ON L6T 3X5","C$549,900",3 bds2 ba- Condo for sale
"104 Benhurst Cres, Brampton, ON L7A 5A5","C$1,079,900",4 bds3 ba- House for sale
"64 Eagle Plains Dr, Brampton, ON L6R 3M3","C$1,249,900",4 bds4 ba- House for sale
"83 Bonistel Cres, Brampton, ON L7A 3G9","C$1,075,000",3 bds3 ba- House for sale
"182 Tiller Trl, Brampton, ON L6X 4S8","C$749,000",3 bds3 ba- House for sale
"60 Baycliffe Cres #411, Brampton, ON L7A 0Z4","C$475,000",1 bd1 ba674 sqft- Condo for sale
"2 Jayfield Rd, Brampton, ON L6S 3G6","C$999,000",3 bds2 ba- House for sale
"731 Balmoral Dr, Brampton, ON L6T 1X6","C$899,000",3 bds2 ba- House for sale
"100 John St #1708, Brampton, ON L6W 0A8","C$669,000",2 bds2 ba- Condo for sale
"6 Grouse Ln, Brampton, ON L6Y 5L1","C$1,499,000",4 bds5 ba- House for sale
"77 Bonistel Cres, Brampton, ON L7A 3G9","C$1,169,000",4 bds4 ba- House for sale
"80 Stedford Cres, Brampton, ON L7A 4P5","C$999,000",4 bds3 ba- House for sale
"30 Pride Ct, Brampton, ON L6Y 5H3","C$2,650,000",4 bds5 ba- House for sale
"14 Crown Forest Ct, Brampton, ON L6Y 2Y5","C$2,689,000",5 bds5 ba- House for sale
"32 Faywood Dr, Brampton, ON L6Y 4K3","C$899,900",4 bds4 ba- House for sale
"4 Miracle Trl, Brampton, ON L7A 0Y3","C$899,000",3 bds3 ba- House for sale
"21 Riverbank Rd, Brampton, ON L6R 2H4","C$1,149,999",8 bds4 ba- House for sale
"17 Cranberry Cres, Brampton, ON L6Y 4P7","C$899,000",4 bds4 ba- House for sale
"577 Edenbrook Hill Dr, Brampton, ON L7A 4T4","C$1,149,000",6 bds5 ba- House for sale
"45 Kingswood Dr, Brampton, ON L6V 2X5","C$749,900",4 bds1 ba- Townhouse for sale
"54 Sky Harbour Dr #207, Brampton, ON L6Y 6B9","C$449,900",2 bds1 ba- Condo for sale
"10 Stalbridge Ave, Brampton, ON L6Y 4H1","C$899,900",5 bds4 ba- House for sale
"20 Brentwood Dr, Brampton, ON L6T 1P9","C$849,900",4 bds2 ba- House for sale
"32 Faywood Dr, Brampton, ON L6Y 4K3","C$899,900",4 bds4 ba- House for sale
"1 Wayne Nicol Dr, Brampton, ON L6X 3Y5","C$998,888",7 bds4 ba- House for sale
"14 Crown Forest Ct, Brampton, ON L6Y 2Y5","C$2,689,000",5 bds5 ba- House for sale
"45 Kingswood Dr, Brampton, ON L6V 2X5","C$749,900",4 bds1 ba- Townhouse for sale
"23 Delmonico Rd, Brampton, ON L6P 2W8","C$1,499,000",7 bds6 ba- House for sale
"17 Abercrombie Cres, Brampton, ON L7A 4N1","C$1,299,000",6 bds5 ba- House for sale
"2 Garden Park Ln, Brampton, ON L6X 0H1","C$799,000",3 bds3 ba- Townhouse for sale
"20 Brentwood Dr, Brampton, ON L6T 1P9","C$849,900",4 bds2 ba- House for sale
"21 Riverbank Rd, Brampton, ON L6R 2H4","C$1,149,999",8 bds4 ba- House for sale
"17 Cranberry Cres, Brampton, ON L6Y 4P7","C$899,000",4 bds4 ba- House for sale
"54 Sky Harbour Dr #207, Brampton, ON L6Y 6B9","C$449,900",2 bds1 ba- Condo for sale
"577 Edenbrook Hill Dr, Brampton, ON L7A 4T4","C$1,149,000",6 bds5 ba- House for sale
"3 Dalbeattie Dr, Brampton, ON L6Y 6H3","C$799,000","4 bds3 ba1,822 sqft- Townhouse for sale"
"7 Tobermory Cres, Brampton, ON L6V 4T6","C$978,888",4 bds4 ba- House for sale
"152 Darras Ct UNIT 48, Brampton, ON L6T 1W7","C$599,000",4 bds2 ba- Townhouse for sale
"5 Lisa St #507, Brampton, ON L6T 4T4","C$429,900",2 bds2 ba- Condo for sale
"33 Ashen Tree Ln, Brampton, ON L7A 0T1","C$774,900","3 bds3 ba1,404 sqft- Townhouse for sale"
"15 Autumn Ridge Dr, Brampton, ON L6R 0X4","C$1,399,990",4 bds6 ba- House for sale
"20 Edenborough Dr, Brampton, ON L6T 3A1","C$879,900","5 bds2 ba1,100 sqft- House for sale"
"41 Lawndale Cres, Brampton, ON L6S 3L3","C$799,900",4 bds3 ba- House for sale
"32 Possession Cres, Brampton, ON L6P 4K3","C$2,329,000",5 bds5 ba- House for sale
"2510 Countryside Dr #29, Brampton, ON L6R 3T4","C$699,000",4 bds4 ba- Townhouse for sale
"18 Drayglass Ct, Brampton, ON L6Z 4E9","C$979,999","4 bds4 ba3,080 sqft- House for sale"
"7 Trudelle Cres, Brampton, ON L7A 2Z5","C$799,000",3 bds3 ba- House for sale
"10 Autumn Olive Way, Brampton, ON L6P 4L4","C$3,599,999",5 bds8 ba- House for sale
"48 Rainbrook Clos, Brampton, ON L6R 0Y9","C$1,399,900",4 bds5 ba- House for sale
"71 Mannel Cres, Brampton, ON L6Y 5E3","C$1,089,000",5 bds4 ba- House for sale
"76 Fallmeadow Cir, Brampton, ON L6Y 0Y7","C$850,000",3 bds3 ba- House for sale
"57 Briar Path #7, Brampton, ON L6T 2A3","C$599,999",3 bds2 ba- Condo for sale
"399 Vodden St E #24, Brampton, ON L6V 3V1","C$669,000",3 bds3 ba- Condo for sale
"81 Mullis Cres, Brampton, ON L6Y 4S9","C$949,991",3 bds4 ba- House for sale
