address,price,details
"1137 Cooke Blvd #208, Burlington, ON L7T 4A8","C$579,000",2 bds1 ba- Townhouse for sale
"1137 Cooke Blvd #139, Burlington, ON L7T 4A8","C$579,000",2 bds1 ba- Townhouse for sale
"3045 New St #39, Burlington, ON L7N 3V9","C$948,800",2 bds3 ba- Condo for sale
"3480 Upper Middle Rd #36, Burlington, ON L7M 4R9","C$679,900",3 bds3 ba- Townhouse for sale
"2134 New St #1, Burlington, ON L7R 1H8","C$1,749,000","4 bds4 ba3,319 sqft- House for sale"
"2025 Maria St #1505, Burlington, ON L7R 0E9","C$1,628,000","2 bds3 ba1,300 sqft- Condo for sale"
"2093 Fairview St #1206, Burlington, ON L7R 0E6","C$495,000",1 bd1 ba556 sqft- Condo for sale
"1283 Blanshard Dr #33, Burlington, ON L7M 4T8","C$769,000",3 bds3 ba- Townhouse for sale
"2991 Glover Ln, Burlington, ON L7M 0W2","C$749,000","3 bds3 ba1,618 sqft- Townhouse for sale"
"4823 Thomas Alton Blvd #22, Burlington, ON L7M 0V2","C$989,888","3 bds3 ba1,963 sqft- Townhouse for sale"
"3491 Spruce Ave, Burlington, ON L7N 1K4","C$1,999,000","3 bds4 ba2,232 sqft- House for sale"
"3050 Rotary Way #12, Burlington, ON L7M 0G8","C$799,000",3 bds3 ba- Townhouse for sale
"3480 Upper Middle Rd #21, Burlington, ON L7M 4R9","C$649,000",2 bds2 ba- Townhouse for sale
"5070 Fairview St #304, Burlington, ON L7L 0B8","C$639,900",2 bds2 ba- Condo for sale
"2037 Mountain Grove Ave, Burlington, ON L7P 2H8","C$949,000","3 bds2 ba2,362 sqft- House for sale"
"5258 Bromley Rd, Burlington, ON L7L 3G2","C$999,000",4 bds2 ba- House for sale
"2392 Lyford Ln, Burlington, ON L7P 3Y8","C$899,900",3 bds2 ba- House for sale
"5130 Bunton Cres, Burlington, ON L7L 6J4","C$1,099,000","3 bds3 ba1,764 sqft- House for sale"
"3041 Glencrest Rd #36, Burlington, ON L7N 3K1","C$675,900",3 bds2 ba- Townhouse for sale
"121 Foxbar Rd, Burlington, ON L7L 2Z7","C$1,099,000",4 bds2 ba- House for sale
"629 Garibaldi Cmn, Burlington, ON L7L 0E2","C$649,900",3 bds2 ba- Townhouse for sale
"358 Arden Cres, Burlington, ON L7L 2A8","C$1,199,000",3 bds2 ba- House for sale
"2220 Middlesmoor Cres, Burlington, ON L7P 3X5","C$899,000","3 bds4 ba1,450 sqft- House for sale"
"2415 Kirstie Ct, Burlington, ON L7P 3Y9","C$779,900","3 bds4 ba2,000 sqft- House for sale"
"3218 Wentworth St, Burlington, ON L7M 2N4","C$1,190,000",6 bds4 ba- House for sale
"5458 Stratton Rd, Burlington, ON L7L 2Z3","C$1,588,000","5 bds3 ba2,032 sqft- House for sale"
"1035 Cedar Ave, Burlington, ON L7T 2R8","C$849,900","5 bds2 ba2,749 sqft- House for sale"
"4764 Doug Wright Dr, Burlington, ON L7M 0K5","C$1,250,000",3 bds4 ba- House for sale
"568 Delphine Dr, Burlington, ON L7L 6X1","C$899,000","3 bds3 ba1,800 sqft- House for sale"
"4241 Sarazen Dr #35, Burlington, ON L7M 5B7","C$899,000","3 bds4 ba1,501 sqft- Townhouse for sale"
"4141 Galileo Cmn, Burlington, ON L7L 0G7","C$749,900","2 bds2 ba1,426 sqft- Townhouse for sale"
"5216 Garland Cres, Burlington, ON L7L 7K9","C$1,099,900",4 bds4 ba- House for sale
"2532 Cavendish Dr, Burlington, ON L7P 4E4","C$1,099,900",4 bds3 ba- House for sale
"2352 Ruth Dene Cres, Burlington, ON L7P 1V2","C$899,000",4 bds2 ba- House for sale
"5300 Dryden Ave, Burlington, ON L7L 6Z9","C$879,900","4 bds3 ba1,790 sqft- Townhouse for sale"
"783 Spring Gardens Rd, Burlington, ON L7T 1J6","C$699,000",2 bds1 ba975 sqft- House for sale
"1238 De Quincy Cres, Burlington, ON L7P 1E1","C$899,000","3 bds2 ba1,405 sqft- House for sale"
"3210 Hazelwood Ave, Burlington, ON L7M 2V4","C$1,099,000","4 bds3 ba2,114 sqft- House for sale"
"2530 Northampton Blvd #91, Burlington, ON L7M 4B4","C$624,900",2 bds1 ba- Townhouse for sale
"400 Bryant Cres, Burlington, ON L7L 3Z6","C$1,099,900","3 bds2 ba1,750 sqft- House for sale"
"2120 Agincourt Cres, Burlington, ON L7P 1P2","C$1,549,900",5 bds4 ba- House for sale
"2080 Mckerlie Cres, Burlington, ON L7M 4E8","C$1,799,900",4 bds4 ba- House for sale
"844 Glenwood Ave, Burlington, ON L7T 2J9","C$1,349,900",3 bds2 ba- House for sale
"2342 Arnold Cres, Burlington, ON L7P 4G3","C$799,900","4 bds2 ba1,275 sqft- House for sale"
"3010 Palmer Dr #8, Burlington, ON L7M 1L2","C$649,000","4 bds2 ba2,000 sqft- Townhouse for sale"
"5346 Haldimand Cres, Burlington, ON L7L 7E4","C$995,000",3 bds3 ba- Townhouse for sale
"2234 Upper Middle Rd #2, Burlington, ON L7P 2Z9","C$599,900","3 bds2 ba1,215 sqft- Townhouse for sale"
"5142 Bunton Cres, Burlington, ON L7L 6J4","C$969,000",3 bds3 ba- House for sale
"505 Walnut Cres, Burlington, ON L7N 2V9","C$1,049,900","4 bds2 ba2,086 sqft- House for sale"
"1297 Tyrrell Rd, Burlington, ON L7P 2S3","C$750,000","3 bds2 ba1,050 sqft- House for sale"
"1298 Consort Cres, Burlington, ON L7M 1J7","C$774,900","5 bds3 ba1,350 sqft- House for sale"
"2179 Clarendon Park Dr, Burlington, ON L7R 1W9","C$1,250,000",4 bds2 ba- House for sale
"101 Masonry Ct #A515, Burlington, ON L7T 4A8","C$495,000",1 bd1 ba- Condo for sale
"622 Hooks Cmn, Burlington, ON L7L 0C9","C$769,900",4 bds2 ba- Townhouse for sale
"3149 Lula Rd, Burlington, ON L7M 1A2","C$1,295,000",4 bds4 ba- House for sale
"4178 Rawlins Cmn, Burlington, ON L7M 0B5","C$997,800",4 bds3 ba- Townhouse for sale
"2224 Casselman Ct, Burlington, ON L7L 6T7","C$999,000",3 bds3 ba- House for sale
"2330 Woodward Ave, Burlington, ON L7R 1T9","C$999,000",3 bds2 ba- House for sale
"1877 Four Seasons Dr, Burlington, ON L7P 3B1","C$1,500,000",4 bds4 ba- House for sale
"1569 Riley Ave, Burlington, ON L7M 3G2","C$1,155,000","4 bds3 ba2,250 sqft- House for sale"
"2458 Cavendish Dr, Burlington, ON L7P 3T8","C$889,000",3 bds2 ba- House for sale
"3030 Jenn Ave, Burlington, ON L7M 0C8","C$1,199,000",4 bds4 ba- House for sale
"1411 Tyandaga Park Dr, Burlington, ON L7P 1N4","C$2,600,000",4 bds5 ba- House for sale
"2594 Bluffs Way, Burlington, ON L7M 0T8","C$4,799,000","5 bds6 ba11,245 sqft- House for sale"
"5165 Banting Ct #65, Burlington, ON L7L 2Z4","C$749,000",4 bds2 ba- Townhouse for sale
"5503 Blind Line, Burlington, ON L7P 0B1","C$4,995,000","5 bds2 ba2,805 sqft- House for sale"
"1121 Cooke Blvd #226, Burlington, ON L7T 0C3","C$729,000","2 bds2 ba1,141 sqft- Townhouse for sale"
"399 Elizabeth St #704, Burlington, ON L7R 0A4","C$1,025,000",2 bds2 ba- Condo for sale
"1270 Maple Crossing Blvd #604, Burlington, ON L7S 2J3","C$529,000",3 bds2 ba- Condo for sale
"457 Plains Rd E #220, Burlington, ON L7T 0B8","C$469,990",1 bd1 ba- Condo for sale
"101 Masonry Ct #B425, Burlington, ON L7T 4A8","C$399,000",Studio1 ba- Condo for sale
"2261 Orchard Rd, Burlington, ON L7L 6Z9","C$1,349,900",4 bds4 ba- House for sale
