address,price,details
"52 Rouge Bank Dr, Markham, ON L3S 4C7","C$1,399,000",4 bds5 ba- House for sale
"2 Romfield Cir, Markham, ON L3T 3H2","C$1,399,000","4 bds-- ba8,103 sqft- House for sale"
"24 Brookbank Ct, Markham, ON L3P 6K8","C$1,288,000",5 bds5 ba- House for sale
"303 Milliken Meadows Dr, Markham, ON L3R 0V8","C$999,000",4 bds4 ba- House for sale
"20 Todman Ln, Markham, ON L6E 0C8","C$899,000",3 bds3 ba- House for sale
"3 Isabella Peach Dr, Markham, ON L6C 0Z1","C$1,188,000",4 bds4 ba- Townhouse for sale
"12 Verclaire Gate, Markham, ON L3R 9P6","C$1,599,000",4 bds4 ba- House for sale
"138 Maria Rd, Markham, ON L6E 0M1","C$949,000",3 bds3 ba- House for sale
"10248 9th Line #E, Markham, ON L6B 1A8","C$3,500,000",6 bds8 ba- House for sale
"7 Waterleaf Rd, Markham, ON L6B 0Z3","C$1,689,990",4 bds5 ba- House for sale
"223 Bay Thorn Dr, Markham, ON L3T 3V6","C$1,188,000",3 bds2 ba- House for sale
"18 Nichols Blvd, Markham, ON L6C 2Z3","C$1,500,000",5 bds4 ba- House for sale
"18 Black Locust Dr, Markham, ON L6E 0P8","C$888,000",4 bds3 ba- Townhouse for sale
"68 Henry Bauer Ave, Markham, ON L6C 0T1","C$1,599,000",4 bds4 ba- House for sale
"9582 Markham Rd #316, Markham, ON L6E 1B1","C$539,000",1 bd2 ba- Condo for sale
"5146 19th Ave, Markham, ON L6C 1M4","C$3,989,900",4 bds3 ba- House for sale
"20 Pascoe Dr, Markham, ON L6B 1C4","C$799,000",4 bds4 ba- House for sale
"22 Morgan Ave, Markham, ON L3T 1R1","C$1,388,800",5 bds4 ba- House for sale
"3 Evergreen Cres, Markham, ON L3T 5V8","C$1,499,000",5 bds4 ba- House for sale
"21 Barrington Cres, Markham, ON L3R 3H2","C$799,900",5 bds3 ba- House for sale
"325 S Park Rd #317, Markham, ON L3T 0B8","C$738,000",3 bds2 ba- Condo for sale
"6 Sunnyside Hill Rd, Markham, ON L6B 0X4","C$1,299,800",4 bds4 ba- House for sale
"38 Reesorville Rd, Markham, ON L3P 3L2","C$1,100,000",4 bds3 ba- House for sale
"122 Guinevere Rd, Markham, ON L3S 4V2","C$888,800",3 bds4 ba- House for sale
"7 Schouten Cres, Markham, ON L3P 7W8","C$799,900",3 bds3 ba- Townhouse for sale
"158 Royal Orchard Blvd, Markham, ON L3T 3E4","C$1,799,990",4 bds4 ba- House for sale
"63 Dundas Way, Markham, ON L6E 0R7","C$849,000",4 bds4 ba- Townhouse for sale
