address,price,details
"400 Webb Dr #601, Mississauga, ON L5B 3Z7","C$549,900",2 bds1 ba- Condo for sale
"7268 Seabreeze Dr, Mississauga, ON L5N 6K7","C$899,000","3 bds3 ba1,470 sqft- House for sale"
"1624 Watersedge Rd, Mississauga, ON L5J 1A4","C$6,200,000",3 bds4 ba- House for sale
"3066 Eglinton Ave W #80, Mississauga, ON L5M 8E4","C$499,000",1 bd1 ba- Townhouse for sale
"5425 Landsborough Ave, Mississauga, ON L5R 3X2","C$1,388,000","4 bds3 ba2,328 sqft- House for sale"
"657 Cricklewood Dr #528, Mississauga, ON L5G 0B8","C$959,900","2 bds3 ba1,292 sqft- Townhouse for sale"
"1305 Dupree Pl, Mississauga, ON L5J 3K2","C$1,345,000",4 bds2 ba- House for sale
"25 Kingsbridge Garden Cir PENTHOUSE 8, Mississauga, ON L5R 4B1","C$799,000",2 bds2 ba- Condo for sale
"4011 Brickstone Mews #523, Mississauga, ON L5B 0J7","C$479,999",1 bd1 ba- Condo for sale
"4470 Tucana Ct #1204, Mississauga, ON L5R 3K8","C$510,000","2 bds2 ba1,200 sqft- Condo for sale"
"7568 Wildfern Dr, Mississauga, ON L4T 3P6","C$879,000",3 bds3 ba- House for sale
"100 Harborn Rd, Mississauga, ON L5B 1A4","C$2,597,000",2 bds2 ba- House for sale
"1469 Kirkrow Cres, Mississauga, ON L5M 3Y6","C$1,199,000",5 bds4 ba- House for sale
"4235 Sherwoodtowne Blvd #1607, Mississauga, ON L4Z 1W3","C$559,900",2 bds2 ba- Condo for sale
"3034 Dalehurst Dr, Mississauga, ON L5N 6M8","C$1,198,000",4 bds4 ba- House for sale
"349 Rathburn Rd W PENTHOUSE 118, Mississauga, ON L5B 0K6","C$509,000",1 bd1 ba- Condo for sale
"3939 Honey Locust Trl, Mississauga, ON L5N 6X4","C$899,900","3 bds-- ba1,500 sqft- House for sale"
"5253 Floral Hill Cres, Mississauga, ON L5V 1V4","C$1,150,000",4 bds4 ba- House for sale
"3041 Franze Dr, Mississauga, ON L5A 2R8","C$1,299,999",6 bds2 ba- House for sale
"333 Harrowsmith Dr, Mississauga, ON L5R 1P9","C$1,349,900",6 bds5 ba- House for sale
"2078 Perran Dr, Mississauga, ON L5K 2R5","C$1,898,800",6 bds-- ba- House for sale
"90 Absolute Ave #UPH-07, Mississauga, ON L4Z 0A3","C$625,000",2 bds2 ba- Condo for sale
"5336 Select Ct, Mississauga, ON L5R 3Y3","C$1,599,900",5 bds5 ba- House for sale
"1575 Lakeshore Rd W #468, Mississauga, ON L5J 0B1","C$599,000",1 bd1 ba652 sqft- Condo for sale
"34 Earl St, Mississauga, ON L5M 1N7","C$999,000",2 bds2 ba- House for sale
"5530 Glen Erin Dr #160, Mississauga, ON L5M 6E8","C$699,000",3 bds4 ba- Townhouse for sale
"4616 Full Moon Cir, Mississauga, ON L4Z 2N5","C$1,249,000",4 bds4 ba- House for sale
"3913 Stoneham Way, Mississauga, ON L5N 6Y6","C$879,000",3 bds3 ba- House for sale
"388 Prince Of Wales Dr #806, Mississauga, ON L5B 0A1","C$550,000",1 bd1 ba- Condo for sale
"3525 Brandon Gate Dr #11, Mississauga, ON L4T 3M3","C$549,900",4 bds2 ba- Condo for sale
"3281 Martins Pine Cres, Mississauga, ON L5L 1G3","C$799,900",4 bds3 ba- House for sale
"3888 Duke Of York Blvd #2134, Mississauga, ON L5B 4P5","C$734,999",3 bds2 ba- Condo for sale
"3170 Erin Mills Pkwy #334, Mississauga, ON L5L 0B6","C$665,000",2 bds2 ba- Condo for sale
"3170 Erin Mills Pkwy, Mississauga, ON L5L 0B6","C$665,000",2 bds2 ba- Condo for sale
"458 Claircrest Ave, Mississauga, ON L5A 1T6","C$1,199,000",4 bds2 ba- House for sale
"5255 Guildwood Way #38, Mississauga, ON L5R 4A6","C$788,900",4 bds4 ba- Condo for sale
