address,price,details
"39 Howard Rd, Newmarket, ON L3Y 3G6","C$2,538,000",6 bds6 ba- House for sale
"902 Goring Cir, Newmarket, ON L3X 0H9","C$1,688,000",4 bds4 ba- House for sale
"28 Savage Rd, Newmarket, ON L3X 1P7","C$1,199,000",5 bds4 ba- House for sale
"110 Eastman Cres, Newmarket, ON L3Y 5S2","C$948,000",6 bds4 ba- House for sale
"669 Foxcroft Blvd, Newmarket, ON L3X 1N3","C$1,789,000",6 bds4 ba- House for sale
"314 Stewart St, Newmarket, ON L3Y 3M6","C$1,499,000",3 bds4 ba- House for sale
"776 Caradonna Cres #6, Newmarket, ON L3X 1W5","C$659,900",3 bds3 ba- Townhouse for sale
"72 Ashton Rd, Newmarket, ON L3Y 5R5","C$899,000",4 bds3 ba- House for sale
"215 Harding Park St, Newmarket, ON L3Y 0E3","C$799,880",4 bds3 ba- Townhouse for sale
"906 Isaac Phillips Way, Newmarket, ON L3X 2Y8","C$799,008",3 bds3 ba- House for sale
"451 Oak St, Newmarket, ON L3Y 3X7","C$899,800",3 bds2 ba- House for sale
"116 Doris Cres, Newmarket, ON L3Y 7V5","C$1,199,000",4 bds3 ba- House for sale
"708 Caradonna Cres #43, Newmarket, ON L3X 1W6","C$599,000",3 bds3 ba- Townhouse for sale
"943 Birchwood Dr, Newmarket, ON L3Y 6G9","C$988,000",3 bds4 ba- House for sale
"543 Greig Cir, Newmarket, ON L3Y 8S6","C$999,000","4 bds4 ba2,663 sqft- House for sale"
"115 William Booth Ave, Newmarket, ON L3X 3B2","C$1,150,000",4 bds4 ba- House for sale
"345 Spruce Grove Cres, Newmarket, ON L3X 2X2","C$788,800",3 bds3 ba- Townhouse for sale
"954 Srigley St, Newmarket, ON L3Y 1Y3","C$999,999",3 bds2 ba- House for sale
"1193 Blencowe Cres, Newmarket, ON L3X 0C3","C$1,399,000",4 bds4 ba- House for sale
"78 Monkswood Cres, Newmarket, ON L3Y 2K1","C$2,299,000","5 bds5 ba5,100 sqft- House for sale"
"86 Prospect St, Newmarket, ON L3Y 3T4","C$879,000",3 bds2 ba- House for sale
"951 Portminster Ct, Newmarket, ON L3X 1L8","C$1,649,000",4 bds4 ba- House for sale
"160 Bristol Rd, Newmarket, ON L3Y 7W9","C$1,199,000",4 bds5 ba- House for sale
"260 Gwillimbury Rd, Newmarket, ON L3Y 2V9","C$741,000",4 bds2 ba- House for sale
"415 Lavas Rd, Newmarket, ON L3Y 8H3","C$998,000",3 bds3 ba- House for sale
"719 Sunnypoint Dr, Newmarket, ON L3Y 2Z7","C$788,000",3 bds2 ba- House for sale
"98 Memorial Gardens Way, Newmarket, ON L3X 3A7","C$1,098,880",4 bds5 ba- House for sale
"282 Coachwhip Trl, Newmarket, ON L3X 2Y4","C$799,000",3 bds4 ba- Townhouse for sale
"29 Vantage Loop, Newmarket, ON L3X 0K6","C$759,000",3 bds3 ba- Townhouse for sale
"925 Tegal Pl, Newmarket, ON L3X 1K6","C$1,890,000",4 bds5 ba- House for sale
"770 Yarfield Cres, Newmarket, ON L3X 0H3","C$1,357,000",5 bds4 ba- House for sale
