address,price,details
"536 Sandmere Pl, Oakville, ON L6L 4G4","C$3,075,000",4 bds6 ba- House for sale
"1372 Bronte Rd, Oakville, ON L6M 4G4","C$9,900,000",4 bds6 ba- House for sale
"32 Roslo Ct, Oakville, ON L6H 4S1","C$1,200,000",4 bds4 ba- House for sale
"2328 Hertfordshire Way, Oakville, ON L6H 7M5","C$1,799,000",4 bds4 ba- House for sale
"263 Georgian Dr, Oakville, ON L6H 0L2","C$649,000","2 bds2 ba1,100 sqft- Condo for sale"
"110 Kaitting Trl, Oakville, ON L6M 5K8","C$1,049,900","3 bds3 ba1,500 sqft- Townhouse for sale"
"2021 Ardleigh Rd, Oakville, ON L6J 1V6","C$2,890,000","5 bds4 ba4,109 sqft- House for sale"
"2188 Oak Bliss Cres, Oakville, ON L6M 3K1","C$1,050,000","3 bds-- ba1,641 sqft- House for sale"
"2180 Marine Dr #201, Oakville, ON L6L 5V2","C$1,239,900",2 bds2 ba- Condo for sale
"2175 Marine Dr #304, Oakville, ON L6L 5L5","C$825,000",2 bds2 ba- Condo for sale
"277 Queen Mary Dr, Oakville, ON L6K 3L4","C$1,249,000",2 bds2 ba- House for sale
"1480 Bishops Gate #216, Oakville, ON L6M 4N4","C$629,900","2 bds2 ba1,020 sqft- Condo for sale"
"1344 Clearview Dr, Oakville, ON L6J 6X4","C$1,499,500",4 bds4 ba- House for sale
"263 Georgian Dr #310, Oakville, ON L6H 0L2","C$649,000",2 bds2 ba- Condo for sale
"2308 Kirkhill Pl, Oakville, ON L6M 5G9","C$1,199,900","3 bds4 ba1,875 sqft- House for sale"
"39 Holyrood Ave, Oakville, ON L6K 2V4","C$2,480,000",3 bds4 ba- House for sale
"2967 Garnethill Way, Oakville, ON L6M 5E9","C$799,999",3 bds4 ba- Townhouse for sale
"492 Maple Grove Dr, Oakville, ON L6J 4W2","C$1,650,000",3 bds2 ba- House for sale
"2200 Brays Ln, Oakville, ON L6M 3J7","C$1,999,000",5 bds4 ba- House for sale
"219 Alison Cres, Oakville, ON L6L 0C7","C$1,799,000","3 bds3 ba3,078 sqft- House for sale"
"1359 White Oaks Blvd #210, Oakville, ON L6H 2R8","C$629,000",3 bds2 ba- Condo for sale
"1450 Bayshire Dr, Oakville, ON L6H 6E7","C$1,798,000",4 bds5 ba- House for sale
"2283 Whitecliffe Way, Oakville, ON L6M 4W3","C$1,657,500","4 bds5 ba4,007 sqft- House for sale"
"43 Hays Blvd #16, Oakville, ON L6H 0J1","C$619,900",2 bds2 ba- Condo for sale
"359 N Park Blvd, Oakville, ON L6M 1P7","C$1,699,000",5 bds5 ba- House for sale
"121 Ripley Ct #8, Oakville, ON L6H 1H2","C$799,000",3 bds2 ba- Townhouse for sale
"Coming Soon Plan, Upper Joshua Creek",$--,-- bds-- ba- New construction
"3353 Liptay Ave #25, Oakville, ON L6M 0M6","C$1,299,900",5 bds5 ba- Townhouse for sale
"133 Spring Azure Cres, Oakville, ON L6L 6V8","C$1,988,000","4 bds4 ba3,400 sqft- House for sale"
"184 Beaveridge Ave, Oakville, ON L6H 0M7","C$999,900","3 bds3 ba1,800 sqft- Townhouse for sale"
"120 Bronte Rd #6, Oakville, ON L6L 3C1","C$2,188,888","3 bds5 ba3,247 sqft- Townhouse for sale"
"3414 Burnhamthorpe Rd W, Oakville, ON L6M 4H3","C$4,760,000","5 bds6 ba7,227 sqft- House for sale"
"2470 Woburn Cres, Oakville, ON L6L 5E9","C$1,699,000","3 bds3 ba2,112 sqft- House for sale"
"1176 Old Post Dr, Oakville, ON L6M 1A6","C$1,682,000","4 bds3 ba2,456 sqft- House for sale"
"174 Sixteen Mile Dr, Oakville, ON L6M 0T7","C$1,264,900",4 bds4 ba- Townhouse for sale
"28 Highland Rd, Oakville, ON L6K 1S7","C$3,199,000","4 bds5 ba5,854 sqft- House for sale"
"571 Golfview Ct, Oakville, ON L6M 4W6","C$2,099,900",4 bds5 ba- House for sale
"1240 Westview Ter #64, Oakville, ON L6M 3M4","C$749,900","3 bds3 ba2,259 sqft- Townhouse for sale"
"203 Huguenot Rd, Oakville, ON L6H 0L6","C$979,900",3 bds4 ba- Townhouse for sale
"1273 Heritage Way, Oakville, ON L6M 3E1","C$1,499,900","4 bds3 ba2,766 sqft- House for sale"
"1403 Cobbler Ln, Oakville, ON L6M 3C1","C$1,099,900","4 bds3 ba2,590 sqft- House for sale"
"11 Bronte Rd #425, Oakville, ON L6L 0E1","C$729,900",1 bd2 ba779 sqft- Condo for sale
"3500 Lakeshore Rd W #705, Oakville, ON L6L 0B4","C$999,800","2 bds2 ba1,010 sqft- Condo for sale"
"374 Seaton Dr, Oakville, ON L6L 3Y1","C$3,888,000","5 bds7 ba6,521 sqft- House for sale"
"481 Carlton Dr, Oakville, ON L6J 5X2","C$1,599,000","4 bds3 ba3,113 sqft- House for sale"
"2424 Yolanda Dr, Oakville, ON L6L 2H8","C$1,425,000","4 bds2 ba1,877 sqft- House for sale"
"2088 Lakeshore Rd W #12, Oakville, ON L6L 1G8","C$624,999",3 bds2 ba- Townhouse for sale
"461 Jeanette Dr, Oakville, ON L6K 1M7","C$3,079,000","5 bds5 ba4,777 sqft- House for sale"
"2400 Neyagawa Blvd #17, Oakville, ON L6H 7P5","C$1,999,000","3 bds4 ba3,374 sqft- Townhouse for sale"
"273 Watson Ave, Oakville, ON L6J 3V3","C$3,595,000","3 bds3 ba5,515 sqft- House for sale"
"1097 Birchview Ave, Oakville, ON L6J 2C5","C$4,490,000","3 bds6 ba6,399 sqft- House for sale"
"358 River Glen Blvd, Oakville, ON L6H 5X6","C$1,599,900",4 bds4 ba- House for sale
"3028 Creekshore Cmn #114, Oakville, ON L6M 5K6","C$699,999",2 bds2 ba948 sqft- Condo for sale
"1347 Saddler Cir, Oakville, ON L6M 2X6","C$1,599,900","5 bds3 ba3,877 sqft- House for sale"
"2171 Fiddlers Way #5, Oakville, ON L6M 0R9","C$899,900","3 bds3 ba1,776 sqft- Townhouse for sale"
"2384 Parkglen Ave, Oakville, ON L6M 4Y5","C$1,799,900",5 bds5 ba- House for sale
"2399 Ventura Dr, Oakville, ON L6L 2H5","C$1,288,800",4 bds3 ba- House for sale
"3500 Lakeshore Rd W #815, Oakville, ON L6L 0B4","C$1,498,000","2 bds3 ba1,455 sqft- Condo for sale"
"2305 Falling Green Dr, Oakville, ON L6M 5A4","C$1,399,900","5 bds4 ba3,501 sqft- New construction"
"1153 Bridlewood Trl, Oakville, ON L6M 2L2","C$1,190,000",4 bds4 ba- House for sale
"195 Romain Cres, Oakville, ON L6H 5A5","C$1,219,000","4 bds3 ba2,932 sqft- House for sale"
"1454 Sprucewood Ter, Oakville, ON L6M 2R1","C$1,799,990",4 bds5 ba- House for sale
"2480 Post Rd #31, Oakville, ON L6H 0K1","C$599,900",2 bds2 ba946 sqft- Townhouse for sale
"73 Washington Ave #404, Oakville, ON L6K 1W5","C$450,000",1 bd1 ba- Condo for sale
"2450 Shadow Ct, Oakville, ON L6M 5G6","C$1,120,000","3 bds4 ba2,303 sqft- Townhouse for sale"
"328 John Cramp Path, Oakville, ON L6M 1P9","C$1,349,990",4 bds5 ba- House for sale
"2395 Deer Run Ave, Oakville, ON L6J 6K7","C$1,899,000","5 bds4 ba2,489 sqft- House for sale"
"491 Wildwood Dr, Oakville, ON L6K 1V1","C$1,299,000","4 bds3 ba2,768 sqft- House for sale"
"3328 Erasmum St, Oakville, ON L6M 1S3","C$1,098,900","4 bds4 ba1,952 sqft- Townhouse for sale"
"11 Head St, Oakville, ON L6K 1L3","C$1,899,000","4 bds4 ba3,054 sqft- House for sale"
"2064 Schoolmaster Cir, Oakville, ON L6M 3A1","C$1,998,900",6 bds4 ba- House for sale
"1903 Pilgrims Way #205, Oakville, ON L6M 2X1","C$859,000","2 bds2 ba1,449 sqft- Condo for sale"
"2783 Guilford Cres, Oakville, ON L6J 6Z4","C$1,500,000","6 bds4 ba2,884 sqft- House for sale"
"127 Chisholm St, Oakville, ON L6K 3J1","C$1,649,900",4 bds4 ba- House for sale
"2151 Peachtree Ln, Oakville, ON L6M 3W8","C$1,187,500",3 bds3 ba- House for sale
"1071 Queens Ave, Oakville, ON L6H 2R5","C$569,900","2 bds2 ba1,100 sqft- Condo for sale"
"2326 Sovereign St, Oakville, ON L6L 1L6","C$2,625,000","4 bds6 ba4,100 sqft- House for sale"
"1135 Mccraney St E #3, Oakville, ON L6H 3A3","C$739,000","3 bds3 ba1,357 sqft- Townhouse for sale"
"2486 Old Bronte Rd #204, Oakville, ON L6M 0Y4","C$599,900",1 bd1 ba601 sqft- Condo for sale
"371 Athabasca Cmn, Oakville, ON L6H 0R5","C$1,149,900","3 bds4 ba2,155 sqft- Townhouse for sale"
"495 George Ryan Ave, Oakville, ON L6H 0S5","C$1,169,000","4 bds3 ba2,079 sqft- House for sale"
"1351 Brookstar Dr, Oakville, ON L6M 3W1","C$899,000",3 bds3 ba- House for sale
"2586 Wynten Way, Oakville, ON L6J 7K3","C$1,499,888","5 bds4 ba2,533 sqft- House for sale"
"1112 Montgomery Dr, Oakville, ON L6M 1G1","C$899,000",3 bds3 ba- House for sale
"2071 Granby Dr, Oakville, ON L6H 3Y4","C$1,399,000",4 bds4 ba- House for sale
