address,price,details
"148 Iribelle Ave, Oshawa, ON L1L 0E2","C$750,000",3 bds3 ba- Townhouse for sale
"1056 Stone Cottage Cres, Oshawa, ON L1K 1Z4","C$1,299,888",4 bds5 ba- House for sale
"1939 Riverton St, Oshawa, ON L1K 0P6","C$899,000",4 bds3 ba- House for sale
"1800 Simcoe St N #415, Oshawa, ON L1G 0C2","C$399,900",3 bds3 ba- Condo for sale
"1824 Douglas Langtree Dr, Oshawa, ON L1K 0Y3","C$1,250,000",4 bds4 ba- House for sale
"510 Thornton Rd, Oshawa, ON L1J 6T6","C$1,299,000",6 bds5 ba- House for sale
"222 Pearson St #47, Oshawa, ON L1G 7C6","C$499,900",4 bds2 ba- Townhouse for sale
"71 Norland Cir, Oshawa, ON L1L 0A7","C$899,900",4 bds3 ba- House for sale
"1337 Margate Dr, Oshawa, ON L1K 2S5","C$750,000",4 bds4 ba- House for sale
"111 Oshawa Blvd S, Oshawa, ON L1H 5R4","C$425,000",4 bds2 ba- House for sale
"620 Somerville Ave, Oshawa, ON L1G 4J1","C$599,900",2 bds1 ba- House for sale
"1557 Clearbrook Dr, Oshawa, ON L1K 2P6","C$1,199,000",4 bds4 ba- House for sale
"1900 Simcoe St N #515, Oshawa, ON L1G 0C1","C$214,000",Studio1 ba- Condo for sale
"465 Humewood Ave, Oshawa, ON L1G 2V1","C$599,900",3 bds2 ba- House for sale
"519 Falconridge Dr, Oshawa, ON L1K 0C1","C$799,000",3 bds4 ba- House for sale
"952 Townline Rd S, Oshawa, ON L1H 0A4","C$649,000",4 bds4 ba- House for sale
"1112 Oshawa Blvd N, Oshawa, ON L1G 5W1","C$775,000",5 bds4 ba- House for sale
"953 Gentry Cres, Oshawa, ON L1K 1L6","C$499,900",3 bds2 ba- House for sale
"116 Seneca Ave, Oshawa, ON L1G 3V4","C$629,000",3 bds2 ba- House for sale
"970 Lavender Ct, Oshawa, ON L1G 3H1","C$899,900",4 bds3 ba- House for sale
"1455 Ritson Rd S, Oshawa, ON L1J 7M3","C$549,999",2 bds2 ba- House for sale
"47 Filly Path #462, Oshawa, ON L1L 0K8","C$649,900",4 bds3 ba- Townhouse for sale
"1150 Ormond Dr, Oshawa, ON L1K 2T4","C$649,900",3 bds4 ba- Townhouse for sale
"1696 Woodgate Trl, Oshawa, ON L1G 8B4","C$649,000",3 bds3 ba- Townhouse for sale
"284 Dover St, Oshawa, ON L1G 6G6","C$699,999",3 bds2 ba- House for sale
"509 Grenfell St, Oshawa, ON L1J 4W8","C$549,900",3 bds2 ba- House for sale
"650 Dorchester Dr, Oshawa, ON L1J 6L5","C$540,000",3 bds2 ba- House for sale
"2478 Bromus Path, Oshawa, ON L1L 0K7","C$699,900",4 bds3 ba- Townhouse for sale
"610 Braemor Ct, Oshawa, ON L1J 2X8","C$799,000",3 bds3 ba- House for sale
"892 Mount Allan Ave, Oshawa, ON L1J 8K3","C$879,999",4 bds4 ba- House for sale
"955 Eagle Ridge Dr, Oshawa, ON L1K 2Z9","C$1,499,500",4 bds3 ba- House for sale
"372 Calvert Ct, Oshawa, ON L1J 6X7","C$550,000",3 bds2 ba- House for sale
"1900 Simcoe St N #612, Oshawa, ON L1G 0C1","C$235,000",Studio1 ba- Condo for sale
"1979 Arborwood Dr, Oshawa, ON L1K 0V2","C$999,900",4 bds4 ba- House for sale
"43 Great Gabe Cres, Oshawa, ON L1L 0G6","C$599,000",2 bds2 ba- Townhouse for sale
"167 Quetico Ct, Oshawa, ON L1J 1E7","C$599,900",4 bds2 ba- House for sale
