address,price,details
"2411 Tangreen Trl, Pickering, ON L1X 0G6","C$1,499,000",5 bds4 ba- House for sale
"1998 Liverpool Rd, Pickering, ON L1V 1W5","C$2,499,900",-- sqft lot- Lot / Land for sale
"Mahogany Ct, Pickering, ON L1X 0A2","C$749,900",3 bds3 ba- Condo for sale
"Nature Haven Cres, Pickering, ON L1X 0A5","C$899,900",4 bds4 ba- Condo for sale
"1705 Greenvale Cres, Pickering, ON L1V 4X8","C$1,050,000",4 bds4 ba- House for sale
"808 Zator Ave, Pickering, ON L1W 1X9","C$749,000",3 bds2 ba- House for sale
"462 Oakwood Dr, Pickering, ON L1W 2M7","C$1,699,900",4 bds4 ba- House for sale
"1806 Rex Heath Dr, Pickering, ON L1X 0E6","C$649,900",2 bds3 ba- Condo for sale
"1410 Crossing Ct, Pickering, ON L1X 2T1","C$1,199,000",4 bds3 ba- House for sale
"1460 Whites Rd #410, Pickering, ON L1V 0E8","C$685,000",2 bds3 ba- Townhouse for sale
"1331 Glenanna Rd #29, Pickering, ON L1V 2Y4","C$529,900",3 bds1 ba- Townhouse for sale
"1700 Conacher Cres, Pickering, ON L1X 2T4","C$999,000",2 bds3 ba- House for sale
"632 Eramosa Cres, Pickering, ON L1V 5N1","C$929,000",3 bds3 ba- House for sale
"1064 Foxtail Cres, Pickering, ON L1X 0E7","C$1,198,800",4 bds4 ba- House for sale
"2613 Garrison Cros, Pickering, ON L1X 0E5","C$595,000",2 bds2 ba- Condo for sale
"2381 Strathmore Cres, Pickering, ON L1X 2H8","C$1,029,000",4 bds4 ba- House for sale
"1504 Shepway Mews, Pickering, ON L1X 0C7","C$749,000",3 bds3 ba- Townhouse for sale
"625 Atwood Cres, Pickering, ON L1W 3W6","C$849,900",3 bds3 ba- House for sale
"1315 Gull Cros, Pickering, ON L1W 1E8","C$999,000",3 bds4 ba- Townhouse for sale
"604 W Shore Blvd, Pickering, ON L1W 2T8","C$1,199,000",2 bds4 ba- House for sale
"1880 Valley Farm Rd #731, Pickering, ON L1V 6B3","C$689,000",2 bds2 ba- Condo for sale
"865 Naroch Blvd, Pickering, ON L1W 1T1","C$829,000",3 bds2 ba- House for sale
