address,price,details
"390 Browndale Cres, Richmond Hill, ON L4C 3J4","C$950,000",3 bds2 ba- House for sale
"75 A Rose Branch Dr, Richmond Hill, ON L4S 1J4","C$899,900",3 bds4 ba- Townhouse for sale
"30 George St, Richmond Hill, ON L4E 2V7","C$1,299,900",3 bds2 ba- House for sale
"29 Carnoustie Cres, Richmond Hill, ON L4E 0A2","C$1,298,000",4 bds4 ba- House for sale
"7 Macleod Estate Ct, Richmond Hill, ON L4E 0B1","C$3,890,000",4 bds7 ba- House for sale
"35 Barberry Cres, Richmond Hill, ON L4E 4S4","C$1,899,999",4 bds5 ba- House for sale
"8 Driftwood Ct, Richmond Hill, ON L4E 3K8","C$1,799,000",7 bds5 ba- House for sale
"10 Sunridge St, Richmond Hill, ON L4E 3T5","C$899,999",3 bds4 ba- Townhouse for sale
"26 Carousel Cres, Richmond Hill, ON L4E 3X7","C$1,088,000",3 bds4 ba- House for sale
"43 Maroon Dr, Richmond Hill, ON L4E 5B4","C$1,199,000",3 bds3 ba- House for sale
"20 Harding Blvd #809, Richmond Hill, ON L4C 0T3","C$589,800",1 bd2 ba- Condo for sale
"15 Valhalla Inn Rd #TOWNHOUSE, Richmond Hill, ON M9B 0B3","C$890,000",4 bds3 ba- Townhouse for sale
"16 Danpatrick Dr, Richmond Hill, ON L4S 2S7","C$1,680,000",4 bds4 ba- House for sale
"61 Overhold Cres, Richmond Hill, ON L4E 0L4","C$1,250,000",4 bds3 ba- House for sale
"304 Taylor Mills Dr N, Richmond Hill, ON L4C 2T9","C$880,000",5 bds2 ba- House for sale
"1 Levellands Cres, Richmond Hill, ON L4B 4T5","C$1,299,000",4 bds4 ba- House for sale
"9205 Yonge St UNIT 1909, Richmond Hill, ON L4C 1V5","C$479,900",1 bd1 ba- Condo for sale
"190 Harding Blvd #54, Richmond Hill, ON L4C 0J9","C$820,000",3 bds4 ba- Condo for sale
"384 Becker Rd, Richmond Hill, ON L4C 2S2","C$1,299,000",4 bds3 ba- House for sale
"96 Oldhill St, Richmond Hill, ON L4C 9V1","C$749,000",3 bds3 ba- Townhouse for sale
"75 Weldrick Rd E #924, Richmond Hill, ON L4C 0H9","C$699,000",3 bds3 ba- Townhouse for sale
"25 Milbourne Ln, Richmond Hill, ON L4E 1G4","C$998,880",4 bds4 ba- Townhouse for sale
"196 Humberland Dr, Richmond Hill, ON L4E 3T3","C$1,379,000",6 bds4 ba- House for sale
"140 Estate Garden Dr, Richmond Hill, ON L4E 3X8","C$1,190,000",5 bds4 ba- House for sale
"11611 Yonge St UNIT 526, Richmond Hill, ON L4E 3N8","C$548,800",2 bds2 ba- Condo for sale
"91 Wellspring Ave, Richmond Hill, ON L4E 1E8","C$2,148,800",5 bds4 ba- House for sale
"20 Blackbird Cres, Richmond Hill, ON L4E 4B3","C$1,199,000",5 bds4 ba- House for sale
"89 Linda Margaret Cres, Richmond Hill, ON L4S 2B6","C$1,299,900",5 bds4 ba- House for sale
"9618 Yonge St #219, Richmond Hill, ON L4C 0X5","C$585,000",1 bd2 ba- Condo for sale
"6 Eber St, Richmond Hill, ON L4E 4X2","C$1,398,000",4 bds4 ba- House for sale
"9191 Yonge St #SW-813, Richmond Hill, ON L4C 1E2","C$499,000",1 bd1 ba- Condo for sale
"95 Glenarden Cres, Richmond Hill, ON L4B 2K6","C$2,988,000",4 bds7 ba- House for sale
"30 Elizabeth St S, Richmond Hill, ON L4C 3V4","C$779,900",2 bds2 ba- House for sale
"43 Justus Dr, Richmond Hill, ON L4C 9Z8","C$1,090,000",4 bds4 ba- House for sale
"49 Gormley Rd E, Richmond Hill, ON L4E 1A2","C$1,200,000",2 bds1 ba- House for sale
"100 Fergus Ave, Richmond Hill, ON L4E 3C1","C$2,699,000",4 bds6 ba- House for sale
"24 Albright Cres, Richmond Hill, ON L4E 4Z4","C$1,199,000",5 bds4 ba- House for sale
"22 Vandervoort Dr, Richmond Hill, ON L4E 0C6","C$1,288,000",6 bds4 ba- House for sale
"8 Leach Gate, Richmond Hill, ON L4B 2V1","C$2,399,000",5 bds6 ba- House for sale
"83 Yongehurst Rd, Richmond Hill, ON L4C 3T3","C$4,399,000",4 bds6 ba- House for sale
"75 Weldrick Rd E #839, Richmond Hill, ON L4C 0H9","C$699,900",3 bds3 ba- Townhouse for sale
