address,price,details
"25 Boone Cres, Vaughan, ON L4H 4V1","C$1,489,000",5 bds4 ba- House for sale
"39 Beverly Glen Blvd, [th47] Vaughan, ON L4J 0G8","C$899,000",3 bds4 ba- Townhouse for sale
"218 Golden Trl, Vaughan, ON L6A 5A1","C$1,199,000",3 bds3 ba- Townhouse for sale
"24 Sicilia St, Vaughan, ON L4H 1G3","C$1,399,999",4 bds4 ba- House for sale
"81 Mahogany Forest Dr, Vaughan, ON L6A 0T1","C$1,258,800",4 bds4 ba- House for sale
"99 Abner Miles Dr, Vaughan, ON L6A 4X4","C$2,299,000",5 bds6 ba- House for sale
"26 Bruce St #E17, Vaughan, ON L4L 0H4","C$649,999",2 bds2 ba- Condo for sale
"31 Ravineview Dr, Vaughan, ON L6A 3V2","C$979,000",4 bds3 ba- House for sale
"96 Agostino Cres, Vaughan, ON L4K 5L6","C$999,000",4 bds4 ba- House for sale
"16 Via Romano Blvd, Vaughan, ON L6A 4Y9","C$1,498,900",4 bds5 ba- Townhouse for sale
"18 Alba Ave, Vaughan, ON L4H 2A7","C$1,188,000",2 bds3 ba- House for sale
"40 National Pine Dr, Vaughan, ON L6A 3M3","C$898,888",3 bds4 ba- House for sale
"31 Longbridge Rd, Vaughan, ON L4J 1L7","C$2,138,000",4 bds3 ba- House for sale
"138 Torrey Pines Rd, Vaughan, ON L4H 3X4","C$1,488,888",4 bds4 ba- House for sale
"26 Moneypenny Pl, Vaughan, ON L4J 0L1","C$1,199,900",3 bds3 ba- Townhouse for sale
"42 Tahir St, Vaughan, ON L6A 3A9","C$949,000",6 bds4 ba- House for sale
"96 Bellini Ave, Vaughan, ON L4H 0R7","C$1,080,000",3 bds3 ba- House for sale
"235 Joseph Aaron Blvd, Vaughan, ON L4J 6C4","C$1,399,900",7 bds7 ba- House for sale
"77 Loudon Cres, Vaughan, ON L4J 8N4","C$1,565,000",4 bds5 ba- House for sale
"8 Centro Park Dr, Vaughan, ON L4H 1N9","C$899,880",3 bds3 ba- House for sale
"9888 Dufferin St, Vaughan, ON L6A 1S2","C$10,800,000",4 bds3 ba- House for sale
"2 Belvia Dr, Vaughan, ON L4K 5J7","C$998,000","4 bds4 ba1,935 sqft- House for sale"
"7 Cormel St, Vaughan, ON L6A 2L3","C$829,000",3 bds3 ba- Townhouse for sale
"120 Andes Cres, Vaughan, ON L4H 3H5","C$990,000",3 bds4 ba- House for sale
"35 Loire Valley Ave, Vaughan, ON L4J 8T3","C$999,999",3 bds3 ba- Townhouse for sale
"75 N Park Rd #110, Vaughan, ON L4J 0H8","C$499,900",1 bd1 ba- Condo for sale
"78 Manordale Cres, Vaughan, ON L4H 0T7","C$1,149,000",4 bds4 ba- House for sale
"136 Balsamwood Rd, Vaughan, ON L4J 0G3","C$1,188,000",3 bds4 ba- House for sale
"133 Glen Shields Ave, Vaughan, ON L4K 1S9","C$1,179,000",6 bds2 ba- House for sale
