address,price,details
"1 Beecroft Ct, Whitby, ON L1P 1C7","C$699,000",3 bds2 ba- House for sale
"37 Waller St, Whitby, ON L1R 1Z8","C$899,900",4 bds4 ba- House for sale
"32 Winston Cres, Whitby, ON L1N 6Y1","C$699,000",3 bds2 ba- House for sale
"53 Westfield Dr, Whitby, ON L1P 0E8","C$1,399,900",5 bds4 ba- House for sale
"31 Lake Ridge Rd S, Whitby, ON L1P 1Y9","C$1,200,000",3 bds2 ba- House for sale
"8 Prospect Way, Whitby, ON L1N 0L4","C$679,900",3 bds3 ba- Townhouse for sale
"47 Scott St, Whitby, ON L1N 3L2","C$1,200,000",4 bds3 ba- House for sale
"28 Melborne Ct, Whitby, ON L1R 1S2","C$669,900",3 bds2 ba- House for sale
"198 Melissa Cres, Whitby, ON L1N 8G7","C$824,900",3 bds4 ba- House for sale
"6 Ian Fleming Cres, Whitby, ON L1R 2E2","C$800,000",3 bds3 ba- House for sale
"110 Sonley Dr, Whitby, ON L1R 3R4","C$999,000",4 bds3 ba- House for sale
"53 Norista St, Whitby, ON L1R 3R4","C$889,800",4 bds3 ba- House for sale
"11 Ipswich Pl, Whitby, ON L1M 2K2","C$999,999",4 bds4 ba- House for sale
"69 Janedale Cres, Whitby, ON L1N 6Z5","C$699,900",3 bds2 ba- House for sale
"43 Mildenhall Pl, Whitby, ON L1M 0E5","C$799,900",4 bds3 ba- House for sale
"64 Stratton Cres, Whitby, ON L1R 1V5","C$949,000",4 bds4 ba- House for sale
"5 Michael Blvd #17, Whitby, ON L1N 5P4","C$499,900",4 bds2 ba- Townhouse for sale
"24 Magpie Way, Whitby, ON L1N 0K7","C$699,999",3 bds4 ba- Townhouse for sale
"29 Mac Carl Cres, Whitby, ON L1R 2T6","C$1,260,000",6 bds4 ba- House for sale
"132 Melissa Cres, Whitby, ON L1N 8G2","C$749,900",2 bds3 ba- House for sale
"622 Sugar Maple Cres, Whitby, ON L1N 7V8","C$649,999",3 bds3 ba- House for sale
"32 Bettina Pl, Whitby, ON L1R 0E9","C$799,888",3 bds3 ba- House for sale
"61 Seaboard Gate, Whitby, ON L1N 9P2","C$949,649",4 bds3 ba- House for sale
"133 Baycliffe Dr, Whitby, ON L1P 1V5","C$949,900","4 bds3 ba1,900 sqft- House for sale"
"38 Kantium Way, Whitby, ON L1N 0L4","C$699,900",3 bds4 ba- Townhouse for sale
"14 Bexley Cres, Whitby, ON L1M 2C7","C$680,000",3 bds2 ba- Townhouse for sale
"52 Evergreen Dr, Whitby, ON L1N 6N6","C$949,000",3 bds3 ba- House for sale
"233 Willowbrook Dr, Whitby, ON L1R 2Z1","C$749,900",4 bds4 ba- House for sale
"104 Coho Dr, Whitby, ON L1P 0E6","C$788,000",3 bds3 ba- Townhouse for sale
"10 Bassett Blvd #56, Whitby, ON L1N 9C3","C$679,900",3 bds2 ba- Townhouse for sale
"5 Morningstar Ave, Whitby, ON L1R 0H6","C$1,297,000",4 bds4 ba- House for sale
"1020 Dunsley Way #1, Whitby, ON L1N 0L5","C$599,888",3 bds2 ba- Townhouse for sale
"21 Nieuwendyk St, Whitby, ON L1P 1W5","C$998,000",5 bds3 ba- House for sale
"47 Latchford Way, Whitby, ON L1N 0G2","C$649,900",3 bds3 ba- Townhouse for sale
"1040 Elton Way #10, Whitby, ON L1N 0L3","C$649,000",3 bds3 ba- Townhouse for sale
"52 Juneau Cres, Whitby, ON L1R 3A3","C$729,000",3 bds4 ba- House for sale
